Program Name,University Name,Location
Business Administration - Information System Security,"California State University, Dominguez Hills","Carson, United States of America"
Business Administration - Information Systems,"California State University, Dominguez Hills","Carson, United States of America"
Business Administration - Management and Human Resources,"California State University, Dominguez Hills","Carson, United States of America"
"Business Administration - Sports, Entertainment and Hospitality Management","California State University, Dominguez Hills","Carson, United States of America"
BA in Sport Studies,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Journalism - B.S.,Kent State University,"Kent, United States of America"
Design (Visual Communication),JMC Academy,Multiple (3)
Advertising and Public Relations,"California State University, Dominguez Hills","Carson, United States of America"
Physiotherapy,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Business Administration - Global Logistics and Supply Chain Management,"California State University, Dominguez Hills","Carson, United States of America"
"BA in Graphic Design, Motion Graphics and Video",IED - Istituto Europeo di Design,"Barcelona, Spain"
"BA in Graphic Design, Motion Graphics and Video",IED - Istituto Europeo di Design,"Barcelona, Spain"
BSc in Earth Sciences,University of Pécs,"Pécs, Hungary"
Digital Media Production - B.S.,Kent State University,"Kent, United States of America"
International Undergraduate Program in Economics & Finance,Católica Lisbon School of Business & Economics,"Lisbon, Portugal"
BA (Honours) English Literature,The Open University,"Buckinghamshire, England"
History - B.A.,Kent State University,Multiple (2)
English for Specific Purposes and Korean Studies,Mykolas Romeris University,"Vilnius, Lithuania"
Aviation Engineering,Transport and Telecommunication Institute,"Riga, Latvia"
Health Science - Radiologic Technology,"California State University, Dominguez Hills","Carson, United States of America"
Robotics- Undergraduate Certificate,University of Limerick,"Limerick, Ireland"
Exercise Science - B.S.,Kent State University,"Kent, United States of America"
Environmental Conservation Biology - B.S.,Kent State University,"Kent, United States of America"
"Tourism, Management and Culture",Università IULM,"Milan, Italy"
Romance Philology and Cultures BA (Specialization in French Studies),University of Pécs,"Pécs, Hungary"
Public Relations - B.S.,Kent State University,"Kent, United States of America"
BSc in Civil Engineering,Politecnico di Milano,"Milan, Italy"
B.A. Graphic Design and Visual Communication,"HMKW University of Applied Sciences for Media, Communication and Management","Berlin, Germany"
Social Work,Klaipeda University,"Klaipėda, Lithuania"
Entertainment Business Management,JMC Academy,Multiple (3)
B.S. in Business Administration (Online),Husson University,"Bangor, United States of America"
Archeology BA,University of Pécs,"Pécs, Hungary"
BA (Honours) History,The Open University,"Buckinghamshire, England"
International Business Management (B.A.),Hochschule Fresenius - University of Applied Sciences,"Berlin, Germany"
International Business Management (B.A.),Hochschule Fresenius - University of Applied Sciences,"Cologne, Germany"
International Business Management (B.A.),Hochschule Fresenius - University of Applied Sciences,"Düsseldorf, Germany"
International Business Management (B.A.),Hochschule Fresenius - University of Applied Sciences,"Munich, Germany"
International Relations - B.A.,Kent State University,"Kent, United States of America"
Computer Engineering Technology - B.S.,Kent State University,"Kent, United States of America"
Mathematics,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands"
BSc (Honours) Environmental Science,The Open University,"Buckinghamshire, England"
Literature,Franklin University Switzerland,"Lugano, Switzerland"
BSc Experimental and Industrial Biomedicine,Linköping University,"Linköping, Sweden"
BA (Honours) Environmental Studies,The Open University,"Buckinghamshire, England"
Hospitality and Event Management - B.S.,Kent State University,Multiple (2)
BSc Data Science and Society,University of Groningen,"Groningen, Netherlands"
Criminology and Justice Studies - B.A.,Kent State University,"Multiple (7)

Ashtabula,
East Liverpool ,
Kent,
North Canton,
Salem,
Trumbull,
Tuscarawas,"
BA (Honours) English Language and Literature,The Open University,"Buckinghamshire, England"
BA (Hons) in Business Design,IED - Istituto Europeo di Design,"Barcelona, Spain"
B.S. in Healthcare Administration and Public Health (Online),Husson University,"Bangor, United States of America"
Cosmetology (3 Years),University of Ljubljana,"Ljubljana, Slovenia"
Nursing-LPN to BSN,Saint Martin's University,"Lacey, United States of America"
BA European Languages and Cultures,University of Groningen,"Groningen, Netherlands"
BA (Honours) Youth Work,The Open University,"Buckinghamshire, England"
International Undergraduate Program in Business Administration,Católica Lisbon School of Business & Economics,"Lisbon, Portugal"
BA (Honours) Combined Social Sciences,The Open University,"Buckinghamshire, England"
BA/BSc (Honours) Design and Innovation,The Open University,"Buckinghamshire, England"
Electrical and Electronic Engineering – major Electronics,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Information Technology - Application Development,Edmonds College,"Lynnwood, United States of America"
BSc in Computing,"University of Zagreb, Faculty of Electrical Engineering and Computing (FER)","Zagreb, Croatia"
Business Administration,Vytautas Magnus University,"Kaunas, Lithuania"
"Film, Television and Media","California State University, Dominguez Hills","Carson, United States of America"
BA (Honours) Early Years,The Open University,"Buckinghamshire, England"
"BA in Graphic Design, Advertising",IED - Istituto Europeo di Design,"Barcelona, Spain"
"Sociology and Anthropology: Specialization Society, Culture and Communication",Vytautas Magnus University,"Kaunas, Lithuania"
Laboratory Biomedicine (3 Years),University of Ljubljana,"Ljubljana, Slovenia"
Mechanical Engineering,Saint Martin's University,"Lacey, United States of America"
Computer Information Systems - B.B.A.,Kent State University,"Kent, United States of America"
Music Production,Vytautas Magnus University,"Kaunas, Lithuania"
B.S. in Accounting,Husson University,"Bangor, United States of America"
Computer Science - B.S.,Kent State University,Multiple (2)
"BA in English Writing, Literature & Publishing",The American University of Rome,"Rome, Italy"
International Business,Linnaeus University,"Kalmar, Sweden"
International Finance & Control,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Urbanism (3 Years),University of Ljubljana,"Ljubljana, Slovenia"
Political Science - B.A.,Kent State University,"Kent, United States of America"
Construction Management - B.S.,Kent State University,"Kent, United States of America"
"European Studies – Politics, Societies and Cultures",Malmö University,"Malmö, Sweden"
Chemistry - B.S.,Kent State University,"Kent, United States of America"
Creative Media & Game Technologies,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
International Business,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
BA in English and American Studies,University of Pécs,"Pécs, Hungary"
Psychology - B.A.,Kent State University,"Multiple (8)

Ashtabula,
East Liverpool ,
Geauga,
Kent,
North Canton,
Salem,
Trumbull,
Tuscarawas,"
BA English Language and Culture,University of Groningen,"Groningen, Netherlands"
Double Qualification in Computer Engineering and Multimedia Engineering (Spanish taught),La Salle Campus Barcelona,"Barcelona, Spain"
Nursing (BSc),Medical University of Lublin,"Lublin, Poland"
BA (Hons) Dance,Institute of the Arts Barcelona,"Sitges, Spain"
Geography - B.A.,Kent State University,"Kent, United States of America"
Telecommunication Systems and Computer Networks,Transport and Telecommunication Institute,"Riga, Latvia"
Biotechnology,Vytautas Magnus University,"Kaunas, Lithuania"
Aeronautics - B.S.,Kent State University,"Kent, United States of America"
BA Illustration,University of Europe for Applied Sciences,Multiple (2)
Management - BSc (Hons),University of Kent,"Canterbury, England"
Management with a Year Abroad - BSc (Hons),University of Kent,"Canterbury, England"
Management with a Year in Industry - BSc (Hons),University of Kent,"Canterbury, England"
BA (Hons) Screenwriting,University of Suffolk,"Ipswich, England"
B.S. in Business and Professional Studies,Husson University,"Bangor, United States of America"
Communication Studies - B.A.,Kent State University,"Multiple (7)

Ashtabula,
East Liverpool ,
Kent,
North Canton,
Salem,
Trumbull,
Tuscarawas,"
BA (Hons) Sociology and Politics,"Goldsmiths, University of London","London, England"
Exercise Science,Saint Martin's University,"Lacey, United States of America"
BEng (Chemical Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Civil Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BSc (Geoinformatics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
Midwifery (BSc),Medical University of Lublin,"Lublin, Poland"
BA (Hons) International Relations and Chinese,"Goldsmiths, University of London","London, England"
Architecture - BA (Hons) - ARB/RIBA Part 1,University of Kent,"Canterbury, England"
BCom (Investment Management),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
Chemical Engineering BEng Honours,Newcastle University,"Newcastle upon Tyne, England"
BEng (Electrical Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Electronic Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Industrial Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Mechanical Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Mining Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Metallurgical Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
B.S. in Business and Liberal Studies,Husson University,"Bangor, United States of America"
B.Sc. Sport & Event Management,University of Europe for Applied Sciences,Multiple (3)
BA (Hons) Graphic Design,University of Suffolk,"Ipswich, England"
BEng (Computer Engineering) Engage,"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Law (Eng/NI) - Accelerated Graduate Entry LLB,University of Dundee,"Dundee, Scotland"
Electrical and Electronic Engineering BEng Honours,Newcastle University,"Newcastle upon Tyne, England"
Divinity BD Hons,University of St Andrews,"St Andrews, Scotland"
BCMP,University of Pretoria - Faculty of Health Sciences,"Pretoria, South Africa"
Civil Engineering BEng Honours,Newcastle University,"Newcastle upon Tyne, England"
International Foundation Program (Social Sciences - Spring start) - Credit,University of Kent,"Canterbury, England"
Geography and Planning BA Honours,Newcastle University,"Newcastle upon Tyne, England"
Chemical Sciences,University of Siena,"Siena, Italy"
International Foundation Program (Social Sciences) - Credit,University of Kent,"Canterbury, England"
BA in Product Design,IED - Istituto Europeo di Design,"Barcelona, Spain"
Mechanical Engineering - BEng (Hons),University of Kent,"Canterbury, England"
Combined STEM,The Open University,"Buckinghamshire, England"
BCom (Agribusiness Management),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
Law (Senior Status) - LLB (Hons),University of Kent,"Canterbury, England"
Construction Engineering,Häme University of Applied Sciences,"Hämeenlinna, Finland"
Law (Scots and English Dual Qualifying) LLB (Hons),University of Dundee,"Dundee, Scotland"
Psychology BSc Honours,Newcastle University,"Newcastle upon Tyne, England"
Mechanical Engineering with a Year in Industry - BEng (Hons),University of Kent,"Canterbury, England"
BSc Mathematics,Swansea University,"Swansea, Wales"
European Legal Studies - LLB (Hons),University of Kent,"Canterbury, England"
Marketing - BSc (Hons),University of Kent,"Canterbury, England"
BCom - Extended Program,University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
BSc Chemistry,Swansea University,"Swansea, Wales"
BSc in Computer Science,Unicaf University,"Lilongwe, Malawi"
BSc (Hons) Sport Performance Analysis,University of Suffolk,"Ipswich, England"
International Legal Studies with a Year Abroad - LLB (Hons),University of Kent,"Canterbury, England"
BA (Hons) Media Communications,University of the Arts London,"London, England"
European Legal Studies with German - LLB (Hons),University of Kent,"Canterbury, England"
European Legal Studies with Italian - LLB (Hons),University of Kent,"Canterbury, England"
European Legal Studies with Spanish - LLB (Hons),University of Kent,"Canterbury, England"
Natural Sciences (Chemistry) (Q64-CHE),The Open University,"Buckinghamshire, England"
Business (top-up) - BA (Hons),University of Kent,"Canterbury, England"
LLB (Hons) Law,"Goldsmiths, University of London","London, England"
BA (Hons) Fine Art,"Goldsmiths, University of London","London, England"
French,University of Limerick,"Limerick, Ireland"
Computing and IT Practice (Top-up) (Q68),The Open University,"Buckinghamshire, England"
Law - LLB (Hons),University of Kent,"Canterbury, England"
BA (Hons) Sociology with Criminology,"Goldsmiths, University of London","London, England"
BA in Interior Design,IED - Istituto Europeo di Design,"Barcelona, Spain"
"BA in Product Design, Transportation Design",IED - Istituto Europeo di Design,"Barcelona, Spain"
Art History - BA (Hons),University of Kent,"Canterbury, England"
BSc Actuarial Science,Swansea University,"Swansea, Wales"
Architecture BA (Hons),De Montfort University,"Leicester, England"
Law with a Language (German) - LLB (Hons),University of Kent,"Canterbury, England"
Law with a Language (Spanish) - LLB (Hons),University of Kent,"Canterbury, England"
BSc (Hons) Paramedic Science,University of Suffolk,"Ipswich, England"
Forensic Psychology BSc (Hons),Bath Spa University,"Bath, England"
BA (Hons) Graphic Design (Graphic Illustration),University of Suffolk,"Ipswich, England"
Applied Bioscience - FdSc,University of Kent,"Medway, England"
BA (Hons) Contemporary Media Cultures,University of the Arts London,"London, England"
Biological Sciences,Cardiff University,"Cardiff, Wales"
Environment and Workplace Prevention Techniques,University of Siena,"Siena, Italy"
Economics BA International Honours,University of St Andrews,"St Andrews, Scotland"
Geography BSc Honours,Newcastle University,"Newcastle upon Tyne, England"
Applied Chemical Sciences - FdSc,University of Kent,"Medway, England"
Applied Bioscience - BSc (Hons),University of Kent,"Medway, England"
Chartered Manager - BSc (Hons),University of Kent,"Medway, England"
BSc (Hons) in Criminology and Criminal Justice,Swansea University,"Swansea, Wales"
Open (Combined Studies),The Open University,"Buckinghamshire, England"
Dietetics MDiet,Newcastle University,"Newcastle upon Tyne, England"
Science Technology and Society BS,South Dakota School of Mines & Technology,"Rapid City, United States of America"
BSc (Medical Sciences),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
Marketing with a Year Abroad - BSc (Hons),University of Kent,"Canterbury, England"
Business and Management (Fashion) BA (Hons),Bath Spa University,"Bath, England"
BSc Mathematics,University of Essex,"Colchester, England"
BA in Interdisciplinary Studies,The American University of Rome,"Rome, Italy"
BA Fine Art and History of Art,"Goldsmiths, University of London","London, England"
BSc (Hons) Creative Media Technologies,University of Portsmouth,"Portsmouth, England"
BA (Hons) Psychosocial Studies - Full time,"Goldsmiths, University of London","London, England"
BA (Hons) Psychosocial Studies - Part time,"Goldsmiths, University of London","London, England"
BA Criminology and Sociology,Abertay University,"Dundee, Scotland"
BEng (Mechanical Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Electronic and Communications Engineering - BEng (Hons),University of Kent,"Canterbury, England"
BA (Hons) History of Art - Full time,"Goldsmiths, University of London","London, England"
BA (Hons) History of Art - Part time,"Goldsmiths, University of London","London, England"
Business and Management With Integrated Foundation Year BA (Hons),Bath Spa University,Multiple (2)
BA (Law),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
Applied Chemical Sciences - BSc (Hons),University of Kent,"Medway, England"
Engineering Management,University of Siena,"Siena, Italy"
Law with a Language (French) - LLB (Hons),University of Kent,"Canterbury, England"
Electronic and Communications Engineering with a Year in Industry - BEng (Hons),University of Kent,"Canterbury, England"
BCom (Law),University of Pretoria - Faculty of Economic and Management Science,"Pretoria, South Africa"
Film Studies BA International Honours,University of St Andrews,"St Andrews, Scotland"
Marketing with a Year in Industry - BSc (Hons),University of Kent,"Canterbury, England"
Criminology - BA (Hons),University of Kent,"Canterbury, England"
Engineering (Top-up) (Q78),The Open University,"Buckinghamshire, England"
Finance and Investment - BSc (Hons),University of Kent,"Medway, England"
BSc (Hons) Mental Health Nursing,Abertay University,"Dundee, Scotland"
Mathematics,Hampshire College,"Amherst, United States of America"
BIS (Multimedia),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Mechanical Engineering (BEng),Cardiff University,"Cardiff, Wales"
BA (Hons) Journalism,University of Portsmouth,"Portsmouth, England"
Finance and Investment with a Year in Industry - BSc (Hons),University of Kent,"Medway, England"
BA (Hons) International Relations,"Goldsmiths, University of London","London, England"
BSc Information Management for Business,UCL School of Management,"London, England"
Psychology - BSc (Hons),University of Kent,"Canterbury, England"
Neuroscience,Hampshire College,"Amherst, United States of America"
Digital Media Arts - Television Arts,"California State University, Dominguez Hills","Carson, United States of America"
Computing and IT,The Open University,"Buckinghamshire, England"
Pharmacy MPharm Honours,Newcastle University,"Newcastle upon Tyne, England"
Cultural Studies and Media with Journalism - BA (Hons),University of Kent,"Canterbury, England"
BSc (Hons) Biological Sciences (with Foundation Year),University of Suffolk,"Ipswich, England"
Applied Software Engineering,Cardiff University,"Cardiff, Wales"
Economics,The Open University,"Buckinghamshire, England"
History BA International Honours,University of St Andrews,"St Andrews, Scotland"
Business Management (Economics) (Q91-EC),The Open University,"Buckinghamshire, England"
Human Services - Mental Health Recovery,"California State University, Dominguez Hills","Carson, United States of America"
BSc (Hons) Strength and Conditioning in Sport,University of Lincoln,"Lincoln, England"
Business Management (Leadership Practice) (Q91-LP),The Open University,"Buckinghamshire, England"
Social Sciences (Sociology) (R23-SOCI),The Open University,"Buckinghamshire, England"
Arts and Humanities (Classical Studies) (R14-CS),The Open University,"Buckinghamshire, England"
International Relations BA International Honours,University of St Andrews,"St Andrews, Scotland"
Mathematics,University of Siena,"Siena, Italy"
Biomedical Sciences,Cardiff University,"Cardiff, Wales"
Ancient History/History,Cardiff University,"Cardiff, Wales"
Social Policy and Politics - BA (Hons),University of Kent,"Canterbury, England"
Natural Sciences,The Open University,"Buckinghamshire, England"
Computing and IT and Mathematics,The Open University,"Buckinghamshire, England"
Business Management (Marketing) (Q91-MAR),The Open University,"Buckinghamshire, England"
BSc Sport and Exercise Science,Swansea University,"Swansea, Wales"
BA (Hons) Photography,University of Suffolk,"Ipswich, England"
Social Work (Scotland) (graduate entry) (Q50),The Open University,"Buckinghamshire, England"
LLB (Hons) Law,University of Essex Online,"Essex, England"
BA Accounting and Finance,Abertay University,"Dundee, Scotland"
Law LLB Honours,Newcastle University,"Newcastle upon Tyne, England"
International Finance and Business BA (Hons),De Montfort University,"Leicester, England"
BConSci (Food: Retail Management),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
English BA International Honours,University of St Andrews,"St Andrews, Scotland"
Classical Studies BA International Honours,University of St Andrews,"St Andrews, Scotland"
BA (Hons) Fashion and Textile Design,University of Portsmouth,"Portsmouth, England"
Classical Music,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
BEd (Intermediate Phase Teaching),University of Pretoria - Faculty of Education,"Pretoria, South Africa"
BA (Hons) Business and Marketing,University of Essex Online,"Essex, England"
BSc (Hons) Events Management,University of Lincoln,"Lincoln, England"
BSc (Real Estate),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Arts and Humanities (French) (R14-FR),The Open University,"Buckinghamshire, England"
Arts and Humanities (German) (R14-GE),The Open University,"Buckinghamshire, England"
Arts and Humanities (Spanish) (R14-SP),The Open University,"Buckinghamshire, England"
Geography,University of Limerick,"Limerick, Ireland"
History - BA (Hons),University of Kent,"Canterbury, England"
MPhys Physics,Swansea University,"Swansea, Wales"
Biochemistry BSc Honours,Newcastle University,"Newcastle upon Tyne, England"
BSc Computer Science,Swansea University,"Swansea, Wales"
LLB (Hons) Law with Criminology,University of Portsmouth,"Portsmouth, England"
BSc (Hons) Children's Nursing,University of Suffolk,"Ipswich, England"
Psychology with a Placement Year - BSc (Hons),University of Kent,"Canterbury, England"
Psychology with a Year Abroad - BSc (Hons),University of Kent,"Canterbury, England"
Psychology with Clinical Psychology - BSc (Hons),University of Kent,"Canterbury, England"
Psychology with Forensic Psychology - BSc (Hons),University of Kent,"Canterbury, England"
"BSc (Hons) Computing (Standalone and With Routes in Cyber Security, Artificial Intelligence, Mobile and Web Development)",University of Suffolk,"Ipswich, England"
BSc (Honours) Computing and IT,The Open University,"Buckinghamshire, England"
Business and Management BA (Hons),De Montfort University,"Leicester, England"
Law LLB (Graduate Entry),University of Limerick,"Limerick, Ireland"
English Literature and Creative Writing (Q86),The Open University,"Buckinghamshire, England"
Finance and Investment with a Year Abroad - BSc (Hons),University of Kent,"Medway, England"
BSc (Hons) Sport and Exercise Science,University of Suffolk,"Ipswich, England"
Computer and Information Engineering,University of Siena,"Siena, Italy"
LLB (Hons) Law with International Relations,University of Portsmouth,"Portsmouth, England"
Liberal Arts - BA (Hons),University of Kent,"Canterbury, England"
Finance BFin (Hons),University of Dundee,"Dundee, Scotland"
BSc Medical Pharmacology,Swansea University,"Swansea, Wales"
Sociology and Politics - BA (Hons),University of Kent,"Canterbury, England"
Law (Scots and English Dual Qualifying) With Energy Law LLB (Hons),University of Dundee,"Dundee, Scotland"
Computing and IT and Business,The Open University,"Buckinghamshire, England"
Biological Sciences (including Professional Training Year),Cardiff University,"Cardiff, Wales"
Ancient History,Cardiff University,"Cardiff, Wales"
Business Information Technology - BSc (Hons),University of Kent,"Medway, England"
Sport and Exercise Science - BSc (Hons),University of Kent,"Medway, England"
Environmental Science,The Open University,"Buckinghamshire, England"
Psychology with Clinical Psychology and Placement Year - BSc (Hons),University of Kent,"Canterbury, England"
BSc (Genetics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
BSc (Human Genetics),University of Pretoria - Faculty of Natural and Agricultural Sciences,"Pretoria, South Africa"
English MA Hons,University of St Andrews,"St Andrews, Scotland"
BA (Hons) International Relations and Social Policy,University of Lincoln,"Lincoln, England"
BA (Hons) Media and Communications,"Goldsmiths, University of London","London, England"
History BA Honours,Newcastle University,"Newcastle upon Tyne, England"
Computing and IT and Design,The Open University,"Buckinghamshire, England"
BEng Mechanical Engineering,Swansea University,"Swansea, Wales"
BSc (Hons) Diagnostic Radiography,University of Suffolk,"Ipswich, England"
Liberal Arts with a Year Abroad - BA (Hons),University of Kent,"Canterbury, England"
Social Sciences (Criminology) (R23-CRIM),The Open University,"Buckinghamshire, England"
LLB (Hons) Law With Criminology,University of Suffolk,"Ipswich, England"
Visual Communication and Change,Linnaeus University,"Kalmar, Sweden"
BA (Hons) Business and Management,University of Essex Online,"Essex, England"
English Literature BA (Hons),Bath Spa University,"Bath, England"
Social Work - BA (Hons),University of Kent,"Medway, England"
BA (Hons) Drama and Performance,University of Portsmouth,"Portsmouth, England"
BSc (Hons) Computer Science - Full time,"Goldsmiths, University of London","London, England"
Social Work - BA (Hons),University of Kent,"Medway, England"
BA (Hons) Business and Management,University of Essex Online,"Essex, England"
BSc (Hons) Computer Science - Full time,"Goldsmiths, University of London","London, England"
BSc (Hons) Computer Science - Part time,"Goldsmiths, University of London","London, England"
Robotics,Transport and Telecommunication Institute,"Riga, Latvia"
Architectural Engineering (Year in Industry) (BEng),Cardiff University,"Cardiff, Wales"
Architectural Engineering (Year in Industry) (MEng),Cardiff University,"Cardiff, Wales"
Business Management with a European Language (French),Cardiff University,"Cardiff, Wales"
Integrated Engineering (BEng),Cardiff University,"Cardiff, Wales"
Engineering with Foundation Year,Cardiff University,"Cardiff, Wales"
Social Sciences (Politics) (R23-POLI),The Open University,"Buckinghamshire, England"
Law with Quantitative Research - LLB (Hons),University of Kent,"Canterbury, England"
BA (Hons) International Relations with International Development,University of Portsmouth,"Portsmouth, England"
BEng (Hons) Civil and Environmental Engineering,Abertay University,"Dundee, Scotland"
BSc (Hons) Computer Networks,University of Portsmouth,"Portsmouth, England"
BSc (Hons) Criminology with Psychology,University of Portsmouth,"Portsmouth, England"
B.S. in Biology - Biochemistry,Husson University,"Bangor, United States of America"
Physics,Cardiff University,"Cardiff, Wales"
Music,The Open University,"Buckinghamshire, England"
Criminology,The Open University,"Buckinghamshire, England"
Software Engineering - BSc (Hons),University of Kent,"Medway, England"
BSc in Architectural Design,Politecnico di Milano,Multiple (3)
Creative Music Technology BA (Hons),Bath Spa University,"Bath, England"
German and Hispanic Studies - BA (Hons),University of Kent,"Canterbury, England"
Economics and Business,University of Siena,"Siena, Italy"
Pharmaceutical Science BSc (Hons),De Montfort University,"Leicester, England"
Early Childhood (Top-up) (Q90),The Open University,"Buckinghamshire, England"
Design and Innovation (Q61),The Open University,"Buckinghamshire, England"
Germanic Studies BA (Specialisation German Studies),University of Pécs,"Pécs, Hungary"
Arabic MA Hons,University of St Andrews,"St Andrews, Scotland"
Chemical Sciences BSc Hons,University of St Andrews,"St Andrews, Scotland"
MPharm Pharmacy,Swansea University,"Swansea, Wales"
Social Work BA (Hons),De Montfort University,"Leicester, England"
Psychology with Counselling (Q84),The Open University,"Buckinghamshire, England"
BA (Hons) International Relations and Languages,University of Portsmouth,"Portsmouth, England"
BEd (Foundation Phase Teaching),University of Pretoria - Faculty of Education,"Pretoria, South Africa"
BSc (Hons) Product Design and Innovation,University of Portsmouth,"Portsmouth, England"
Medicine A990 BSc Hons,University of St Andrews,"St Andrews, Scotland"
Architectural Engineering (BEng),Cardiff University,"Cardiff, Wales"
Human Nutrition BSc Honours,Newcastle University,"Newcastle upon Tyne, England"
BA (Speech-Language Pathology),University of Pretoria - Faculty of Humanities,"Pretoria, South Africa"
BEng (Civil Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Electronic Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Industrial Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Metallurgical Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
BEng (Mining Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Healthcare and Health Science (Q96),The Open University,"Buckinghamshire, England"
BEng (Electrical Engineering),"University of Pretoria - Faculty of Engineering, Built Environment and Information Technology","Pretoria, South Africa"
Civil and Environmental Engineering (BEng),Cardiff University,"Cardiff, Wales"
Economics and Mathematical Sciences (Q15),The Open University,"Buckinghamshire, England"
Civil Engineering (BEng),Cardiff University,"Cardiff, Wales"
Environmental Studies,The Open University,"Buckinghamshire, England"
Sociology and Social Policy,Cardiff University,"Cardiff, Wales"
Criminology and Social Policy,Cardiff University,"Cardiff, Wales"
Business Psychology - BSc (Hons),University of Kent,"Canterbury, England"
English Language,Cardiff University,"Cardiff, Wales"
Art & Design (General Foundation) BA (Hons) / BDes (Hons),University of Dundee,"Dundee, Scotland"
Chemistry with a Preliminary Year,Cardiff University,"Cardiff, Wales"
Computer Science Common Entry,University of Limerick,"Limerick, Ireland"
Education Studies (Primary),The Open University,"Buckinghamshire, England"
Psychology with Criminology BSc (Hons),De Montfort University,"Leicester, England"
BSc (Hons) Dental Hygiene,University of Portsmouth,"Portsmouth, England"
Business Management,The Open University,"Buckinghamshire, England"
Social Work (Wales) (Q42),The Open University,"Buckinghamshire, England"
Biomedical Science (Including Professional Training Year),Cardiff University,"Cardiff, Wales"
Early Childhood,The Open University,"Buckinghamshire, England"
Health Sciences,The Open University,"Buckinghamshire, England"
Social Policy and Sociology - BA (Hons),University of Kent,"Canterbury, England"
BSc (Hons) Forensic Science,University of Lincoln,"Lincoln, England"
Criminology,Cardiff University,"Cardiff, Wales"
Criminology and Sociology,Cardiff University,"Cardiff, Wales"
BSc Computer Science Engineering,Budapest International College,"Kecskemét, Hungary"
Computing and IT and Statistics,The Open University,"Buckinghamshire, England"
Electronic and Communications Engineering - MEng,University of Kent,"Canterbury, England"
Biomedical Sciences with Professional Training Year,Cardiff University,"Cardiff, Wales"
BA (Hons) History with Global History - Full time,"Goldsmiths, University of London","London, England"
BA (Hons) History with Global History - Part time,"Goldsmiths, University of London","London, England"
Computing and IT and Psychology,The Open University,"Buckinghamshire, England"
BA (Hons) Computer Animation and Visual Effects,University of Portsmouth,"Portsmouth, England"
BA (Hons) Film Production,University of Portsmouth,"Portsmouth, England"
Business Consultancy International BA,University of Applied Sciences Wiener Neustadt,"Wiener Neustadt, Austria"
Business and Management (Economics) BA (Hons),Bath Spa University,"Bath, England"
Social Work,University of Siena,"Siena, Italy"
Childhood and Youth Studies (Q23),The Open University,"Buckinghamshire, England"
Mathematics and Statistics(Q36),The Open University,"Buckinghamshire, England"
Urban Planning and Development,Cardiff University,"Cardiff, Wales"
Arts and Humanities (Music) (R14-M),The Open University,"Buckinghamshire, England"
