Master's Program in Linguistic Diversity and Digital Humanities,University of Helsinki,"Helsinki, Finland"
"Master in Creative Performance Practice (Acting, Choreography, Musical Theater)",Institute of the Arts Barcelona,"Sitges, Spain"
Master of Arts in Applied Linguistics (TESOL),Singapore University of Social Sciences,"Singapore (City), Singapore"
Master's Program in Biological and Chemical Engineering for Sustainable Bioeconomy (BIOCEB),Aalto University,"Espoo, Finland"
Master of Arts in International Tourism,Università della Svizzera italiana,"Lugano, Switzerland"
Master in International Business and Management (MIBM),"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Oral and Maxillofacial Surgery (Master),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Master of Arts in History and Theory of Art and Architecture,Università della Svizzera italiana,"Mendrisio , Switzerland"
Master in Strategic Design of Spaces,IE University,"Madrid, Spain"
Master of Applied Science in Patient Safety and Healthcare Quality,"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
Master of International Management (with a specialization in Digital Marketing),Geneva Business School - Geneva,"Geneva, Switzerland"
Master of Arts (Coursework) (MA(Coursework)) in Music,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in Japanese,University of Otago,"Dunedin, New Zealand"
Master of Science in Health Promotion Management,American University Online,"Washington D.C., United States of America"
Master's Program in Security and Cloud Computing (SECCLO) (Erasmus Mundus),Aalto University,"Espoo, Finland"
Master's Program in Particle Physics and Astrophysical Sciences,University of Helsinki,"Helsinki, Finland"
Masters in European Union Studies and Human Rights,UCAM / Universidad Catolica De Murcia,"Murcia, Spain"
The Master of International Management (with a specialization in Digital Marketing),Geneva Business School - Barcelona,"Barcelona, Spain"
Master of Mobility and Supply Chain Engineering,KU Leuven,"Leuven, Belgium"
Joint Master Programme in Marine Biotechnology,EU-CONEXUS - European University for Smart Urban Coastal Sustainability,"Multiple (6)

Athens,
Bucharest,
Klaipėda,
La Rochelle,
Valencia,
Zadar,"
Master in Applied Chemistry,Kaunas University of Technology,"Kaunas, Lithuania"
Master's Programme in Intellectual Property Law,Hanken School of Economics,"Helsinki, Finland"
Executive Master’s in International Hotel Management,Les Roches Global Hospitality Education,"Crans-Montana, Switzerland"
MSc in International Marketing with Tourism & Events Double Degree,IPAG Business School,"Nice, France"
Master's Program in Visual Communication Design,Aalto University,"Espoo, Finland"
Executive Master’s in International Hotel Management,Les Roches Global Hospitality Education,"Crans-Montana, Switzerland"
Master of Arts (Coursework) (MA(Coursework)) in Gender Studies,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in Maori Studies,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in German,University of Otago,"Dunedin, New Zealand"
Master in Applied Chemistry,Kaunas University of Technology,"Kaunas, Lithuania"
Master's in Physics and Technology of Advanced Materials,West University of Timișoara,"Timișoara, Romania"
MSc in International Marketing with Tourism & Events Double Degree,IPAG Business School,"Nice, France"
Master of Management in Business Analytics (MBAN),Schulich School of Business - York University,"Toronto, Canada"
Master of Global Sexual and Reproductive Health,Dalarna University,"Falun, Sweden"
Master of Social Sciences in Economics - Economics Engineering,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Master of Bioscience Engineering: Agro- and Ecosystems Engineering,KU Leuven,"Leuven, Belgium"
Master of Science in Cognitive Psychology in Health Communication,Università della Svizzera italiana,"Lugano, Switzerland"
"Interdisciplinary Master's in Art, Media and Design (MA, MDes and MFA)",OCAD University,"Toronto, Canada"
Master in History and Cultural Heritages,University of Algarve,"Faro, Portugal"
Master in Urban Water Cycle,University of Algarve,"Faro, Portugal"
Master's Program in Creative Sustainability - MSc in Technology,Aalto University,"Espoo, Finland"
Master's Program in Classical Music Performance (Piano),University of the Arts Helsinki,"Helsinki, Finland"
Master in Art Direction and New Narratives,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
"Interdisciplinary Master's in Art, Media and Design (MA, MDes and MFA)",OCAD University,"Toronto, Canada"
Master of Faith-based Leadership and Management (MFBLM),University of Otago,"Dunedin, New Zealand"
Master of Science in Human Resource Analytics and Management,American University Online,"Washington D.C., United States of America"
Master's Program in Energy Storage (EIT InnoEnergy),Aalto University,"Espoo, Finland"
Master in Industrial Engineering and Management,Kaunas University of Technology,"Kaunas, Lithuania"
Master in Portuguese as a Foreign Language/Second Language,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Public Health Science,University of Gothenburg - Sahlgrenska Academy,"Gothenburg, Sweden"
Master's Program in New Media - Game Design and Development,Aalto University,"Espoo, Finland"
Master of Arts (Coursework) (MA(Coursework)) in Anthropology,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in Philosophy,University of Otago,"Dunedin, New Zealand"
"Master's Program in Design for Theatre, Film and Television - Production Design",Aalto University,"Espoo, Finland"
Master of Archaeological Practice (MArchP),University of Otago,"Dunedin, New Zealand"
Master's Program in Resource Recovery - Biotechnology and Bioeconomy,University of Borås,"Borås, Sweden"
Master of Science in Financial Business Engineering,University of Antwerp,"Antwerp, Belgium"
Master's Program in Classical Music Performance (Cello),University of the Arts Helsinki,"Helsinki, Finland"
Master of International Management (with a Specialization in International Finance),Geneva Business School - Madrid,"Madrid, Spain"
Masters in Landscape Architecture for Sustainable Urbanisation,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
Masters in Landscape Architecture for Sustainable Urbanisation,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
MPH Master of Public Health,University of Liverpool Online Programmes,"Liverpool, England"
Master of Science (MSc) – Global Supply Chain,HEC Montreal,"Montreal, Canada"
Master’s in Marketing and Management for Luxury Tourism,Les Roches Global Hospitality Education,"Crans-Montana, Switzerland"
Master of Canon Law (Iuris Canonici Licentiatus),KU Leuven,"Leuven, Belgium"
Master of Human Resources Management (MHRM),Hong Kong Baptist University / HKBU,"Hong Kong, China"
Master of Arts (Coursework) (MA(Coursework)) in Sociology,University of Otago,"Dunedin, New Zealand"
"Master’s Program in Arts Management, Society and Creative Entrepreneurship",University of the Arts Helsinki,"Helsinki, Finland"
Masters in Plant Biology for Sustainable Production,SLU - Swedish University of Agricultural Sciences,Multiple (2)
Master in Computer and Telematics Engineering,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Film and Television - Costume Design,Aalto University,"Espoo, Finland"
"Health Business Management, Master of Social Services and/or Health Care",Metropolia University of Applied Sciences,"Helsinki, Finland"
Executive Master in Positive Leadership & Transformation,IE University,Multiple (3)
Master of Management in Artificial Intelligence (MMAI),Schulich School of Business - York University,"Toronto, Canada"
Master of Science in Software and Data Engineering,Università della Svizzera italiana,"Lugano, Switzerland"
Master's programme in Environmental Engineering for Sustainable Development,Mälardalen University,"Västerås, Sweden"
"Master in Inspection, Direction and Management of Organizations and Educational Programs",Universidad de Valladolid,"Valladolid, Spain"
Master in Business Analytics & Data Science,EU Business School Barcelona,"Barcelona, Spain"
Joint Master in Global Economic Governance and Public Affairs,Centre international de formation européenne (CIFE),Multiple (3)
Master of Business Administration (Top-up) - Anglia Ruskin University,London Institute of Business and Technology,"Douglas, United Kingdom"
Executive Master in Digital Transformation & Innovation Leadership,IE University,Multiple (2)
Master of Arts (Coursework) (MA(Coursework)) in French,University of Otago,"Dunedin, New Zealand"
Bachelor/Master of Science in Artificial Intelligence and Machine Learning,University of Limerick,"Limerick, Ireland"
Master in Data Science for Social Sciences,Universidade de Aveiro,"Aveiro, Portugal"
Master of Arts (Thesis) (MA(Thesis)) in Anthropology,University of Otago,"Dunedin, New Zealand"
MIM - Master in International Management - Strategic Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Master of Business Administration: The Essex MBA,University of Essex,"Colchester, England"
Master's Program in Classical Music Performance (Vocal Arts),University of the Arts Helsinki,"Helsinki, Finland"
Master’s Program in Classical Music Performance (Accordion),University of the Arts Helsinki,"Helsinki, Finland"
Masters in Mineral Economics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
MArch Master of Architecture,University of Lincoln,"Lincoln, England"
Online Master of Science (MSc) in Global Business,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
"Master's in Legal, Forensic and Criminological Psychopathology",Universitat Internacional de Catalunya,"Barcelona, Spain"
Master in Audio-visual Communication for New Media,Universidade de Aveiro,"Aveiro, Portugal"
Masters in Outdoor Environments for Health and Well-Being,SLU - Swedish University of Agricultural Sciences,"Alnarp, Sweden"
Master in Geomaterials and Geological Resources,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Classical Music Performance (Viola),University of the Arts Helsinki,"Helsinki, Finland"
Master's Program in Classical Music Performance (Violin),University of the Arts Helsinki,"Helsinki, Finland"
Master in Electrical Energetics Systems Engineering,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
International Master's in Applied Actuarial Science - MSc,University of Kent,"Canterbury, England"
Master of Applied Science (MAppSc) in Advanced Nutrition Practice,University of Otago,"Dunedin, New Zealand"
Master Innovations in Food and Dairy Chains,VHL University of Applied Sciences,"Leeuwarden, Netherlands"
Master in Medical Physics,Kaunas University of Technology,"Kaunas, Lithuania"
Master's Program in Classical Music Performance (Opera),University of the Arts Helsinki,"Helsinki, Finland"
Master of International Management (with a Specialization in International Relations),Geneva Business School - Madrid,"Madrid, Spain"
Joint Study Program of Master in Forest Management Based on Data Sciences and Master in Forestry Engineering,Universidad de Valladolid,"Palencia, Spain"
Master's Program in Film and Television - Film Sound Design,Aalto University,"Espoo, Finland"
Master of Arts (Coursework) (MA(Coursework)) in History,University of Otago,"Dunedin, New Zealand"
Master of Arts in Development Studies Online,Friedensau Adventist University,"Möckern, Germany"
"Master's Program in European Mining, Minerals and Environmental Program (EMMEP)",Aalto University,"Espoo, Finland"
Master in Food Science and Safety,Kaunas University of Technology,"Kaunas, Lithuania"
Master of Advanced Studies in European Policies and Public Administration,KU Leuven,"Leuven, Belgium"
Master of Engineering Sciences in Mechanical Engineering,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Master in Interior Design for Commercial Spaces and Retail,IED - Istituto Europeo di Design,"Barcelona, Spain"
Master of Science (MSc) – International Business,HEC Montreal,"Montreal, Canada"
Master of Bioscience Engineering: Cellular and Genetic Engineering,KU Leuven,"Leuven, Belgium"
Master's Program in Classical Music Performance (Piano Chamber Music and Lied),University of the Arts Helsinki,"Helsinki, Finland"
European Master in Sustainable Energy System Management,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Master of Arts (Coursework) (MA(Coursework)) in Childhood and Youth Studies,University of Otago,"Dunedin, New Zealand"
Master of Applied Science (MAppSc) in Geographic Information Systems,University of Otago,"Dunedin, New Zealand"
Master in Vehicle Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Master of Electromechanical Engineering Technology,KU Leuven,"Leuven, Belgium"
IMACS: International Master in Audiovisual and Cinema Studies MLitt,University of St Andrews,"St Andrews, Scotland"
Master of Applied Science in Population Health Management,"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
"Master in Cinema, Communication and Audiovisual Indusrty",Universidad de Valladolid,"Valladolid, Spain"
Master in Leadership China Global Affairs,Schwarzman Scholars,"Beijing, China"
Master's Program in Classical Music Performance (Early Music),University of the Arts Helsinki,"Helsinki, Finland"
MIM - Master in International Management - Digital Marketing,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Master’s Program in Strategic Management in a Changing World,Aalto University,"Espoo, Finland"
Master in Business Intelligence and Big Data in Cyber-Secure Environments,Universidad de Valladolid,"Valladolid, Spain"
Master of Arts (Coursework) (MA(Coursework)) in Religious Studies,University of Otago,"Dunedin, New Zealand"
"Creativity and Arts in Social and Health Fields (CRASH), Master of Culture and Arts",Metropolia University of Applied Sciences,"Helsinki, Finland"
Joint Master in EU Trade & Climate Diplomacy (EUDIPLO),Centre international de formation européenne (CIFE),Multiple (3)
MIM - Master in International Management - Business Analytics,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Business Communication,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Digital Business,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Global Banking,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Global Economics,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Global Entrepreneurship,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Global Leadership,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Technology Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
"Creativity and Arts in Social and Health Fields (CRASH), Master of Culture and Arts",Metropolia University of Applied Sciences,"Helsinki, Finland"
Master in Materials Physics,Kaunas University of Technology,"Kaunas, Lithuania"
Master in Structural and Building Products Engineering,Kaunas University of Technology,"Kaunas, Lithuania"
Master's Program in Human Nutrition and Food Related Behavior,University of Helsinki,"Helsinki, Finland"
Erasmus Mundus Master of Science in Nanoscience and Nanotechnology,KU Leuven,"Leuven, Belgium"
Double Degree Operations Management,University of Groningen,"Groningen, Netherlands"
MIM - Master in International Management - Design Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Financial Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
MIM - Master in International Management - Hospitality Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Master’s in Comparative Private & International Law,New Vision University,"Tbilisi, Georgia"
Master of Arts (Coursework) (MA(Coursework)) in Buddhist Studies,University of Otago,"Dunedin, New Zealand"
Master’s in Comparative Private & International Law,New Vision University,"Tbilisi, Georgia"
Master of Science in Counter-Terrorism and Homeland Security,American University Online,"Washington D.C., United States of America"
Masters in Computational and Applied Mathematics (Computational Methods and HPC),VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Arts (Coursework) (MA(Coursework)) in English,University of Otago,"Dunedin, New Zealand"
Master's in International Development & Management of Global Affairs (IDMGA),West University of Timișoara,"Timișoara, Romania"
Master's Program in Collaborative and Industrial Design,Aalto University,"Espoo, Finland"
European Master in Animal Breeding and Genetics,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
Double Degree Operations Management,University of Groningen,"Groningen, Netherlands"
Master of International Management (with a specialization in International Finance),Geneva Business School - Geneva,"Geneva, Switzerland"
Master's Program in Live Art and Performance Studies,University of the Arts Helsinki,"Helsinki, Finland"
MIM - Master in International Management - Sports Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
"Master's in Astrophysics, Elementary Particles & Computational Physics",West University of Timișoara,"Timișoara, Romania"
Master of International Management (with a specialization in International Finance),Geneva Business School - Barcelona,"Barcelona, Spain"
Master of Arts (Thesis) (MA(Thesis)) in Spanish,University of Otago,"Dunedin, New Zealand"
Master in Design: Brand Development,Bath Spa University,"Bath, England"
Master Programme (Two Year) in Textile Technology and Engineering,University of Borås,"Borås, Sweden"
Master's Program in Spatial Planning and Transportation Engineering,Aalto University,"Espoo, Finland"
"Master's Program in Chemical, Biochemical and Materials Engineering - Biotechnology",Aalto University,"Espoo, Finland"
Master in Sustainable Management and Operations (SuMO),Kühne Logistics University,"Hamburg, Germany"
Masters in Quality Management and Control of Industrial Systems,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Arts (Thesis) (MA(Thesis)) in Maori Studies,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in Communication Studies,University of Otago,"Dunedin, New Zealand"
Master's Program in Creative Sustainability - MSc in Economics & Business Administration,Aalto University,"Espoo, Finland"
Master in Sustainable and Energy Efficient Buildings,Kaunas University of Technology,"Kaunas, Lithuania"
"Master Programme in Textile and Fashion Design, Specialisation in Fashion Design",University of Borås,"Borås, Sweden"
Master of Agricultural Production Chain Management (MSc),VHL University of Applied Sciences,"Velp, Netherlands"
Master of Science in International Management (MSIM) - Business and Sustainability,Franklin University Switzerland,"Lugano, Switzerland"
Masters in Mechanical Engineering Technology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in International Humanitarian Law and Human Rights,Swiss School of Business and Management Geneva,"Geneva, Switzerland"
Master of Science in International Management (MSIM) - Digital Transformation,Franklin University Switzerland,"Lugano, Switzerland"
Master in Sustainable Management and Production,Kaunas University of Technology,"Kaunas, Lithuania"
Double Degree - Advanced International Business Management and Marketing,University of Groningen,"Groningen, Netherlands"
Master of Science Sustainability and Smart Building Technology,bbw University of Applied Sciences,"Berlin, Germany"
Master in Design and Management of User Experience (UX) and Digital Services,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
"Master in Digital Marketing, Transformation and Design Thinking",EU Business School Barcelona,"Barcelona, Spain"
Master Programme (One Year) in Textile Management,University of Borås,"Borås, Sweden"
Master's Program in Classical Music Performance (Guitar),University of the Arts Helsinki,"Helsinki, Finland"
Masters in Computational and Applied Mathematics (Applied Mathematics),VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master's Program in Classical Music Performance (Percussion),University of the Arts Helsinki,"Helsinki, Finland"
Master's Program in New Media - New Media Design and Production,Aalto University,"Espoo, Finland"
Master's Program in Classical Music Performance (Double Bass),University of the Arts Helsinki,"Helsinki, Finland"
Master of Science Management of Innovation in the Digital Economy,Institut Mines-Telecom Business School,"Évry-Courcouronnes, France"
Master in Energy Technologies and Economics,Kaunas University of Technology,"Kaunas, Lithuania"
Master's Program in Creative Sustainability - MSc in Architecture or Technology,Aalto University,"Espoo, Finland"
Master of Business Administration (Top-up) - University of Central Lancashire,London Institute of Business and Technology,"Douglas, United Kingdom"
Master's Program in Global Management (including CEMS MIM),Aalto University,"Espoo, Finland"
Master in Green Hydrogen Projects,Structuralia,"Alcobendas, Spain"
Master's Program in Classical Music Performance (Harp),University of the Arts Helsinki,"Helsinki, Finland"
Master's Program in Resource Recovery – Sustainable Energy Processes,University of Borås,"Borås, Sweden"
Master’s in Business Administration in International Business (MBA IB),"The Global American University, Schiller",Multiple (4)
Master of Arts (Thesis) (MA(Thesis)) in English,University of Otago,"Dunedin, New Zealand"
Erasmus Mundus Joint Master of Arts in Sports Ethics and Integrity,KU Leuven,"Leuven, Belgium"
Master of Multilingual Communication: Cross-Cultural Communication Management,KU Leuven,"Brussels, Belgium"
Master of Arts (Thesis) (MA(Thesis)) in History,University of Otago,"Dunedin, New Zealand"
Erasmus Mundus Master of Science in Theoretical Chemistry and Computational Modelling,KU Leuven,"Leuven, Belgium"
Master in European Human Rights LL.M. (part-time),Eötvös Loránd University,"Budapest, Hungary"
Master of Science in Applied Economic Sciences: Economic Policy,University of Antwerp,"Antwerp, Belgium"
"Master of Arts in Interreligious Dialogue. Science, Philosophy and Theology of Religions",Università della Svizzera italiana,"Lugano, Switzerland"
Master of Science in European Studies in Investor Relations and Financial Communication,Università della Svizzera italiana,"Lugano, Switzerland"
Master of General Engineering - Innovative Solutions In Geomatics,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Master of Arts (Thesis) (MA(Thesis)) in Peace and Conflict Studies,University of Otago,"Dunedin, New Zealand"
"Master in Mechanical Enginneering - Energy, Air-Conditioning and Refrigeration",University of Algarve,"Faro, Portugal"
MBA Master of Business Administration,University of Lincoln,"Lincoln, England"
Master of Arts (Thesis) (MA(Thesis)) in Classics,University of Otago,"Dunedin, New Zealand"
Master in UI/UX – Interface Design and User Experience,"ESDi, Design Higher Education School","Sabadell, Spain"
"Master's Program in Fashion, Clothing and Textile Design",Aalto University,"Espoo, Finland"
Clinical Development Psychopathy: Cognitive Neuropsychology (Research Master),Vrije Universiteit Amsterdam,"Amsterdam, Netherlands"
MIM - Master in International Management - Small Business Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Humanities Research Degree MPhil,De Montfort University,"Leicester, England"
Master of Arts (Thesis) (MA(Thesis)) in Psychology,University of Otago,"Dunedin, New Zealand"
Master of Science in Business Engineering: Management Information Systems,University of Antwerp,"Antwerp, Belgium"
Master of Arts (Thesis) (MA(Thesis)) in Chinese,University of Otago,"Dunedin, New Zealand"
Master of Arts (Coursework) (MA(Coursework)) in Film and Media Studies,University of Otago,"Dunedin, New Zealand"
Online LL.M - Master of Laws in International Business Law,Robert Kennedy College,"Zurich, Switzerland"
MIM - Master in International Management - Supply Chain Management,United International Business Schools,"Multiple (9)

Amsterdam,
Antwerp,
Barcelona,
Brussels,
Geneva,
Madrid,
Milan,
Tokyo,
Zurich,"
Master Programme (Two Year) in Technical Textile Innovation,University of Borås,"Borås, Sweden"
"Master's Program in Urban Studies and Planning, MSc in Architecture",Aalto University,"Espoo, Finland"
"Master's Program in Urban Studies and Planning, MSc in Architecture",Aalto University,"Espoo, Finland"
Master of Social and Community Work (Applied) (MSCW(Applied)),University of Otago,"Dunedin, New Zealand"
Master in Fashion Innovation Technologies,Kaunas University of Technology,"Kaunas, Lithuania"
Master of Arts (Thesis) (MA(Thesis)) in Film and Media Studies,University of Otago,"Dunedin, New Zealand"
Master of Arts (Thesis) (MA(Thesis)) in German,University of Otago,"Dunedin, New Zealand"
"Master of Arts (Coursework) (MA(Coursework)) in Philosophy, Politics and Economics",University of Otago,"Dunedin, New Zealand"
"European Master in Sustainable Food Systems Engineering, Technology and Business",KU Leuven,"Ghent, Belgium"
Master's Learning & Innovation (special track International Teacher Education),NHL Stenden University of Applied Sciences,"Leeuwarden, Netherlands"
Master of Arts in Architecture (Integrated Studies),Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Computer Science: Internet of Things Master's Program (2 years),Malmö University,"Malmö, Sweden"
Master of Arts (Thesis) (MA(Thesis)) in Politics,University of Otago,"Dunedin, New Zealand"
MSc in International Marketing Double Degree,IPAG Business School,"Nice, France"
"Master's Program in Computer, Communication and Information Sciences - Communications Engineering",Aalto University,"Espoo, Finland"
"Master in Fashion Marketing, Communication and Event Planning (English or Spanish)",LCI Barcelona,"Barcelona, Spain"
Degree Program in Comparative Dramaturgy and Performance Research,University of the Arts Helsinki,"Helsinki, Finland"
Master's Program in Advanced Energy Solutions - Sustainable Energy Conversion Processes,Aalto University,"Espoo, Finland"
Master of Arts in International Relations & Diplomacy (MA IRD),"The Global American University, Schiller",Multiple (3)
"Master's Program in Visual Cultures, Curating and Contemporary Art",Aalto University,"Espoo, Finland"
Master of Arts (Thesis) (MA(Thesis)) in French,University of Otago,"Dunedin, New Zealand"
"Master Programme in Textile and Fashion Design, Specialisation in Textile Design",University of Borås,"Borås, Sweden"
European Joint Master in Social Work with Children and Youth,Mykolas Romeris University,"Vilnius, Lithuania"
Master of Arts (Thesis) (MA(Thesis)) in Religious Studies,University of Otago,"Dunedin, New Zealand"
Master in Design: Investigating Fashion Design,Bath Spa University,"Bath, England"
Master in Creative Sound and Media Technology,Bath Spa University,"Bath, England"
"Master's Program in Chemical, Biochemical and Materials Engineering - Chemistry",Aalto University,"Espoo, Finland"
Double Degree Strategic Marketing Intelligence,University of Groningen,"Groningen, Netherlands"
Master Programme in Textile Value Chain Management,University of Borås,"Borås, Sweden"
Online LL.M - Master of Laws in International Commercial Law,Robert Kennedy College,"Zurich, Switzerland"
Master in Mathematics Teacher Education - 3rd Cycle of Basic Schooling and Secondary Schooling,Universidade de Aveiro,"Aveiro, Portugal"
Master of Arts (Thesis) (MA(Thesis)) in Philosophy,University of Otago,"Dunedin, New Zealand"
Master's Program in Art and Media - Sound in New Media,Aalto University,"Espoo, Finland"
Master's Program in International Design Business Management - MSc in Economics & Business Administration,Aalto University,"Espoo, Finland"
"Master Programme in Textile and Fashion Design, Specialisation in Performance Wear",University of Borås,"Borås, Sweden"
Postgraduate Degree in Global Creative Management,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master of Arts (Thesis) (MA(Thesis)) in Sociology,University of Otago,"Dunedin, New Zealand"
Master's Program in Classical Music Performance (Opera Coaching),University of the Arts Helsinki,"Helsinki, Finland"
Master of Science (MSc) – User Experience in a Business Context,HEC Montreal,"Montreal, Canada"
European Master of Science in Radiation and its Effects on Microelectronics and Photonics Technologies (RADMEP),KU Leuven,"Geel, Belgium"
Master of Arts (Thesis) (MA(Thesis)) in Education,University of Otago,"Dunedin, New Zealand"
"Master Programme in Textile and Fashion Design, Specialisation in Textile Interaction Design",University of Borås,"Borås, Sweden"
Master of Science in International Management (MSIM) - Arts and Luxury Management,Franklin University Switzerland,"Lugano, Switzerland"
"Master in Community Nursing, Area of Family Health Nursing",Universidade de Aveiro,"Aveiro, Portugal"
"Culture and Change - Critical Studies in the Humanities, Master’s Program (Two-Year)",Malmö University,"Malmö, Sweden"
Master's Program in Advanced Materials for Innovation and Sustainability (EIT Raw Materials),Aalto University,"Espoo, Finland"
Master's Program in Resource Recovery - Polymer Materials for the Circular Economy,University of Borås,"Borås, Sweden"
"Master's Program in Computer, Communication and Information Sciences - Acoustics and Audio Technology",Aalto University,"Espoo, Finland"
Master of Arts (Biennio Specialistico) in Transdisciplinary Design - Torino,IED - Istituto Europeo di Design,"Turin, Italy"
Design Research Degree MPhil,De Montfort University,"Leicester, England"
Double Degree International Development Economics,University of Groningen,"Groningen, Netherlands"
Master of Arts (Thesis) (MA(Thesis)) in Childhood and Youth Studies,University of Otago,"Dunedin, New Zealand"
Master's in in Philosophical Counselling and Consultancy (MA PCC),West University of Timișoara,"Timișoara, Romania"
"Master's Program in Computer, Communication and Information Sciences - Game Design and Development",Aalto University,"Espoo, Finland"
Master of Arts (Thesis) (MA(Thesis)) in Music,University of Otago,"Dunedin, New Zealand"
"Leadership and Organization: Societal Challenges and Organizational Changes, Master's Program (Two-year)",Malmö University,"Malmö, Sweden"
Erasmus Mundus Japan Master of Science in Imaging and Light in Extended Reality,KU Leuven,"Ghent, Belgium"
Postgraduate Degree in the Creation and Management of the Integrated Clinic,Universitat Internacional de Catalunya,"Barcelona, Spain"
Master in Primary School Education and Mathematics and Natural Sciences in 2nd Cycle,Universidade de Aveiro,"Aveiro, Portugal"
Official Master in Experiential Interior Design (in Spanish only),LCI Barcelona,"Barcelona, Spain"
Master of Arts (Biennio Specialistico) in Transdisciplinary Design - Milano,IED - Istituto Europeo di Design,"Milan, Italy"
Architecture Research Degree MPhil,De Montfort University,"Leicester, England"
"Master's Program in Chemical, Biochemical and Materials Engineering - Chemical and Process Engineering",Aalto University,"Espoo, Finland"
Master of Arts (Thesis) (MA(Thesis)) in Gender Studies,University of Otago,"Dunedin, New Zealand"
